,City,Cloudiness,Cuntry,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Kloulklubed,75,PW,1564288737,74,7.04,134.26,84.2,9.17
375,Rawdon,20,CA,1564288738,68,46.05,-73.71,75.2,5.82
376,Half Moon Bay,90,US,1564288739,93,37.46,-122.43,77.0,3.2
377,Suntar,1,RU,1564288740,31,62.16,117.65,90.62,2.37
378,Mahon,40,IE,1564288742,93,51.89,-8.4,55.0,10.29
379,Wexford,40,US,1564288743,73,40.63,-80.06,73.4,6.93
380,Letnica,0,PL,1564288753,87,51.9,15.33,64.99,5.82
381,Benguela,14,AO,1564288754,81,-12.58,13.4,68.32,5.35
382,Tual,82,ID,1564288755,82,-5.67,132.75,76.44,18.45
383,Saint-Joseph,100,FR,1564288757,93,43.56,6.97,69.01,2.24
384,Viedma,100,AR,1564288758,39,-40.81,-62.99,48.04,12.91
385,Klaksvik,0,FO,1564288759,93,62.23,-6.59,55.4,9.17
386,Vejen,32,DK,1564288761,82,55.47,9.13,66.2,11.41
387,Vilcun,75,CL,1564288762,100,-38.65,-72.23,45.0,3.36
388,La Ermita,0,ES,1564288764,53,38.52,-0.24,78.01,2.24
389,Komsomolskiy,97,RU,1564288765,65,67.55,63.78,49.94,7.76
390,Vanimo,100,PG,1564288766,73,-2.67,141.3,82.25,7.63
391,Pisco,11,PE,1564288768,87,-13.71,-76.2,55.0,4.7
392,Moron,22,HT,1564288769,85,18.56,-74.26,80.92,5.5
393,Broken Hill,40,AU,1564288770,26,-31.97,141.45,71.6,14.99
394,Tvedestrand,0,NO,1564288771,73,58.62,8.93,69.8,10.29
395,Haljala,0,EE,1564288772,58,59.43,26.27,76.76,4.45
396,Sao Joao da Barra,0,BR,1564288773,95,-21.64,-41.05,61.3,1.52
397,Naze,100,NG,1564288775,97,5.43,7.07,72.39,3.53
398,Tezu,75,IN,1564288776,70,27.93,96.16,86.77,1.99
399,Mabamba,26,TZ,1564288777,40,-3.6,30.5,65.37,3.53
400,Sept-Iles,5,CA,1564288710,82,50.2,-66.38,64.99,5.82
401,Santa Barbara,1,US,1564288779,72,34.42,-119.7,71.01,5.82
402,Hambantota,40,LK,1564288781,66,6.12,81.12,89.6,14.99
403,Kachug,100,RU,1564288782,97,53.96,105.89,58.08,4.12
404,Saldanha,0,PT,1564288783,73,41.42,-6.55,56.12,4.43
405,Dutlwe,0,BW,1564288785,69,-23.98,23.93,49.13,10.65
406,Havelock,1,US,1564288576,78,34.88,-76.9,75.2,1.54
407,Atyrau,75,KZ,1564288787,82,47.1,51.92,68.0,13.42
408,Erenhot,0,CN,1564288788,16,43.65,111.97,87.2,20.65
409,Tacna,90,PE,1564288789,81,-18.01,-70.25,59.0,3.36
410,Tuatapere,100,NZ,1564288791,80,-46.13,167.69,55.0,7.92
411,Kaseda,75,JP,1564288792,55,31.42,130.32,89.6,8.05
412,Vestmanna,0,FO,1564288793,93,62.16,-7.17,55.4,9.17
413,Muisne,98,EC,1564288795,86,0.61,-80.02,74.26,13.02
414,Natal,75,BR,1564288796,94,-5.81,-35.21,73.4,4.7
415,Totness,1,US,1564288797,88,33.74,-80.8,75.0,4.34
416,Baykit,0,RU,1564288799,29,61.68,96.39,69.33,5.79
417,Hillsborough,90,US,1564288800,93,37.57,-122.38,75.2,3.2
418,Kanashevo,13,RU,1564288801,64,55.21,62.07,73.0,6.71
419,Norden,21,DE,1564288803,93,53.59,7.21,64.99,6.93
420,Talaya,0,RU,1564288804,60,55.79,84.89,71.6,6.71
421,Tarboro,1,US,1564288805,100,35.9,-77.54,73.0,4.45
422,Vila do Maio,20,CV,1564288807,83,15.13,-23.22,75.2,2.24
423,Northam,40,AU,1564288808,67,-31.65,116.67,62.6,9.17
424,Antsohihy,50,MG,1564288809,60,-14.88,47.99,78.2,16.89
425,Noumea,0,NC,1564288810,41,-22.28,166.46,75.2,12.75
426,Iralaya,90,HN,1564288811,96,15.0,-83.23,75.86,3.53
427,Virginia Beach,1,US,1564288723,88,36.85,-75.98,73.99,6.51
428,Samarai,56,PG,1564288814,71,-10.62,150.67,74.91,9.42
429,Chino Valley,1,US,1564288815,26,34.76,-112.45,89.01,6.93
430,Quatre Cocos,75,MU,1564288816,100,-20.21,57.76,72.0,12.75
431,Laguna,75,BZ,1564288818,100,16.17,-88.94,78.8,0.83
432,Pachino,0,IT,1564288819,60,36.72,15.09,70.0,1.12
433,Salisbury,6,GB,1564288666,93,51.07,-1.8,59.0,9.17
434,Kruisfontein,0,ZA,1564288821,32,-34.0,24.73,62.4,7.76
435,Verkhnyaya Inta,100,RU,1564288822,73,65.99,60.32,54.32,14.56
436,Springdale,1,US,1564288560,73,36.19,-94.13,75.0,4.7
437,Vung Tau,95,VN,1564288826,61,10.35,107.08,88.59,8.14
438,Otradnyy,12,RU,1564288827,63,53.38,51.35,72.57,7.85
439,Canavieiras,41,BR,1564288828,94,-15.68,-38.95,67.96,3.94
440,Ganzhou,98,CN,1564288829,67,25.86,114.93,88.01,5.59
441,Healdsburg,20,US,1564288830,64,38.61,-122.87,84.2,3.36
442,Meadow Lake,99,CA,1564288617,97,54.13,-108.44,56.37,6.89
443,Scarborough,48,GB,1564288833,93,54.28,-0.41,62.6,3.36
444,Srednekolymsk,48,RU,1564288834,59,67.46,153.71,53.26,18.03
445,Maniitsoq,65,GL,1564288835,72,65.42,-52.9,46.38,4.36
446,Todos Santos,20,MX,1564288836,48,23.45,-110.23,89.01,5.82
447,Sofia,0,BG,1564288837,77,42.7,23.32,64.99,8.05
448,Itaqui,63,BR,1564288839,95,-29.13,-56.55,50.81,6.58
449,Santa Fe,8,AR,1564288785,86,-31.62,-60.7,54.0,6.78
450,Alice Springs,0,AU,1564288571,14,-23.7,133.88,77.0,6.93
451,Lagos,40,NG,1564288842,100,6.46,3.39,75.2,4.7
452,Fayaoue,37,NC,1564288844,64,-20.65,166.53,70.45,11.52
453,Mount Gambier,40,AU,1564288845,62,-37.83,140.78,55.4,10.29
454,Neiafu,75,TO,1564288846,73,-18.65,-173.98,75.2,10.29
455,Inuvik,75,CA,1564288847,38,68.36,-133.71,59.0,6.93
456,Denpasar,40,ID,1564288607,69,-8.65,115.22,82.4,12.75
457,Chabahar,20,IR,1564288849,70,25.29,60.65,87.8,9.17
458,Byron Bay,40,AU,1564288851,72,-28.65,153.62,71.01,11.41
459,Qaqortoq,100,GL,1564288852,70,60.72,-46.03,48.2,19.46
460,Matadi,0,CD,1564288853,86,-5.83,13.46,65.57,1.45
461,Spanaway,1,US,1564288854,68,47.1,-122.42,68.0,6.93
462,Manoel Urbano,0,BR,1564288855,80,-8.84,-69.26,62.13,2.77
463,San Francisco,100,CO,1564288857,96,1.17,-76.88,48.77,1.14
464,Haverfordwest,8,GB,1564288858,93,51.8,-4.97,64.0,8.05
465,Mitu,0,IR,1564288859,36,36.2,46.09,77.52,5.32
466,Adrar,0,DZ,1564288860,10,27.87,-0.29,87.8,11.41
467,Kahului,1,US,1564288862,61,20.89,-156.47,84.2,21.92
468,Oda,75,JP,1564288863,58,35.19,132.5,87.8,17.22
469,Bajitpur,40,BD,1564288770,66,24.22,90.95,89.6,4.7
470,Teano,75,IT,1564288865,78,41.25,14.07,80.6,13.87
471,Karatsu,75,JP,1564288866,55,33.45,129.97,96.01,12.75
472,Udachnyy,90,RU,1564288867,100,66.42,112.4,46.4,2.24
473,Faya,0,SA,1564288869,72,18.39,42.45,68.0,3.02
474,Saint-Denis,0,FR,1564288870,82,48.94,2.36,61.0,9.17
475,Ous,100,RU,1564288871,91,60.91,61.52,50.86,9.06
476,Okakarara,0,NA,1564288872,19,-20.59,17.46,48.32,7.49
477,Port-Gentil,85,GA,1564288873,83,-0.72,8.78,74.39,12.84
478,Shizunai,82,JP,1564288875,86,42.33,142.37,72.64,4.65
479,Sangar,0,RU,1564288876,30,63.92,127.47,87.13,4.59
480,La Romana,20,DO,1564288877,78,18.43,-68.97,82.4,8.05
481,Caceres,37,CO,1564288879,96,5.53,-74.53,62.58,4.81
482,Bikaner,100,IN,1564288880,75,28.02,73.32,84.67,13.87
483,Rio Negro,96,BR,1564288881,97,-26.1,-49.8,55.99,1.99
484,Vao,0,EE,1564288882,58,59.1,26.19,76.76,4.45
485,Bilma,0,NE,1564288883,30,18.69,12.92,88.36,7.94
486,Karia,77,NG,1564288885,70,11.73,11.16,80.11,12.37
487,Port Shepstone,0,ZA,1564288886,22,-30.74,30.45,62.87,7.67
488,Paamiut,100,GL,1564288887,89,61.99,-49.67,40.57,17.83
489,Moindou,0,NC,1564288889,41,-21.69,165.68,75.2,12.75
490,Amahai,44,ID,1564288890,82,-3.31,129.0,77.36,14.76
491,Chunhuhub,21,MX,1564288891,91,19.59,-88.59,76.15,3.15
492,Riosucio,40,CO,1564288892,78,5.42,-75.7,71.6,6.93
493,Tadine,18,NC,1564288893,59,-21.55,167.88,69.44,9.71
494,Brae,62,GB,1564288895,82,60.4,-1.35,60.8,13.87
495,Ucluelet,58,CA,1564288896,92,48.94,-125.55,61.0,19.48
496,Vostok,86,RU,1564288897,54,46.45,135.83,83.28,4.92
497,Gizo,0,IL,1564288898,78,31.8,34.94,78.8,6.93
498,Aksarka,77,RU,1564288899,64,66.56,67.8,46.54,13.96
499,Djibo,90,BF,1564288900,56,14.1,-1.63,80.33,9.28
500,Ust-Nera,99,RU,1564288902,48,64.57,143.24,64.92,10.13
501,Morehead,1,US,1564288903,88,38.18,-83.43,73.4,4.43
502,Smithers,75,CA,1564288874,63,54.78,-127.17,62.6,2.24
503,Tilichiki,19,RU,1564288905,62,60.47,166.1,61.72,8.7
504,Dire Dawa,44,ET,1564288906,61,9.59,41.86,71.69,14.18
505,Ekhabi,94,RU,1564288908,91,53.51,142.97,54.28,10.04
506,Kununurra,19,AU,1564288909,22,-15.77,128.74,91.4,6.93
507,Imbituba,75,BR,1564288679,77,-28.24,-48.67,59.0,9.17
508,Iisalmi,0,FI,1564288911,64,63.56,27.19,69.8,12.75
509,Sanmenxia,0,CN,1564288913,35,34.77,111.19,102.59,15.3
510,Guanica,40,PR,1564288915,83,17.97,-66.91,81.0,12.75
511,Gornozavodsk,100,RU,1564288916,98,58.37,58.33,57.79,5.03
512,Bukene,2,TZ,1564288917,48,-4.23,32.89,65.32,10.13
513,Ilampillai,40,IN,1564288918,62,11.6,78.01,86.0,4.7
514,Tecoanapa,90,MX,1564288920,74,16.99,-99.26,84.2,6.93
515,Aden,98,YE,1564288890,55,12.79,45.03,89.31,11.03
516,Vila Franca do Campo,40,PT,1564288908,94,37.72,-25.43,71.6,9.17
517,Aberystwyth,91,GB,1564288924,92,52.41,-4.08,55.0,1.99
518,The Valley,40,AI,1564288925,78,18.22,-63.06,82.4,10.29
519,Margate,75,AU,1564288926,44,-43.03,147.26,57.2,12.75
520,Port Blair,75,IN,1564288928,74,11.67,92.75,86.0,13.87
521,Kozhevnikovo,27,RU,1564288929,62,56.26,83.98,73.0,10.27
522,Charleston,1,US,1564288678,88,32.79,-79.94,73.99,3.42
523,Sulangan,100,PH,1564288932,74,11.14,123.72,81.8,2.15
524,Ambulu,6,ID,1564288933,87,-8.35,113.61,73.79,15.86
525,Exu,20,BR,1564288934,69,-7.52,-39.72,75.2,10.29
526,Gravdal,5,NO,1564288935,77,59.79,5.78,70.0,8.05
527,Ankang,70,CN,1564288936,47,32.73,108.99,94.42,4.76
528,Eden,17,AU,1564288937,55,-37.06,149.9,60.8,8.05
529,Waitati,100,NZ,1564288939,79,-45.75,170.57,51.01,3.0
530,Alcaniz,0,ES,1564288940,62,41.05,-0.13,60.01,18.01
531,Conceicao do Araguaia,15,BR,1564288941,52,-8.26,-49.26,69.17,3.22
532,Berdigestyakh,0,RU,1564288942,25,62.1,126.7,88.09,4.76
533,Wagar,6,US,1564288944,83,31.44,-87.99,77.0,1.48
